date,close,symbol
2024-06-18,64.25,SHOP
2024-06-17,66.52,SHOP
2024-06-14,67.66,SHOP
2024-06-13,64.69,SHOP
2024-06-12,65.47,SHOP
2024-06-11,63.82,SHOP
2024-06-10,63.01,SHOP
2024-06-07,61.59,SHOP
2024-06-06,61.46,SHOP
2024-06-05,61.25,SHOP
2024-06-04,60.68,SHOP
2024-06-03,59.7,SHOP
2024-05-31,59.15,SHOP
2024-05-30,58.54,SHOP
2024-05-29,58.37,SHOP
2024-05-28,58.19,SHOP
2024-05-24,56.97,SHOP
2024-05-23,57.64,SHOP
2024-05-22,58.7,SHOP
2024-05-21,57.02,SHOP
2024-05-20,58.91,SHOP
2024-05-17,58.53,SHOP
2024-05-16,57.81,SHOP
2024-05-15,58.77,SHOP
2024-05-14,58.03,SHOP
2024-05-13,58.78,SHOP
2024-05-10,58.94,SHOP
2024-05-09,62.45,SHOP
2024-05-08,62.73,SHOP
2024-05-07,77.05,SHOP
2024-05-06,77.37,SHOP
2024-05-03,74.46,SHOP
2024-05-02,72.0,SHOP
2024-05-01,70.4,SHOP
2024-04-30,70.2,SHOP
2024-04-29,72.48,SHOP
2024-04-26,71.33,SHOP
2024-04-25,70.55,SHOP
2024-04-24,72.26,SHOP
2024-04-23,74.01,SHOP
2024-04-22,70.55,SHOP
2024-04-19,69.67,SHOP
2024-04-18,69.51,SHOP
2024-04-17,69.41,SHOP
2024-04-16,68.7,SHOP
2024-04-15,68.57,SHOP
2024-04-12,70.0,SHOP
2024-04-11,71.57,SHOP
2024-04-10,71.98,SHOP
2024-04-09,74.92,SHOP
2024-04-08,74.38,SHOP
2024-04-05,75.28,SHOP
2024-04-04,74.81,SHOP
2024-04-03,75.64,SHOP
2024-04-02,78.12,SHOP
2024-04-01,78.19,SHOP
2024-03-28,77.17,SHOP
2024-03-27,78.62,SHOP
2024-03-26,78.53,SHOP
2024-03-25,78.42,SHOP
2024-03-22,78.72,SHOP
2024-03-21,79.59,SHOP
2024-03-20,81.33,SHOP
2024-03-19,77.53,SHOP
2024-03-18,77.52,SHOP
2024-03-15,77.15,SHOP
2024-03-14,78.42,SHOP
2024-03-13,78.68,SHOP
2024-03-12,76.36,SHOP
2024-03-11,74.97,SHOP
2024-03-08,76.16,SHOP
2024-03-07,75.33,SHOP
2024-03-06,74.01,SHOP
2024-03-05,73.47,SHOP
2024-03-04,75.77,SHOP
2024-03-01,76.59,SHOP
2024-02-29,76.37,SHOP
2024-02-28,75.56,SHOP
2024-02-27,76.63,SHOP
2024-02-26,77.56,SHOP
2024-02-23,76.24,SHOP
2024-02-22,75.03,SHOP
2024-02-21,75.59,SHOP
2024-02-20,78.62,SHOP
2024-02-16,81.29,SHOP
2024-02-15,84.0,SHOP
2024-02-14,80.67,SHOP
2024-02-13,77.18,SHOP
2024-02-12,89.12,SHOP
2024-02-09,90.72,SHOP
2024-02-08,87.87,SHOP
2024-02-07,85.17,SHOP
2024-02-06,81.56,SHOP
2024-02-05,81.4,SHOP
2024-02-02,82.93,SHOP
2024-02-01,76.72,SHOP
2024-01-31,80.07,SHOP
2024-01-30,82.33,SHOP
2024-01-29,83.54,SHOP
2024-01-26,81.55,SHOP
2024-01-25,80.49,SHOP
2024-01-24,80.73,SHOP
2024-01-23,81.14,SHOP
2024-01-22,80.26,SHOP
2024-01-19,80.01,SHOP
2024-01-18,77.52,SHOP
2024-01-17,80.32,SHOP
2024-01-16,81.32,SHOP
2024-01-12,81.4,SHOP
2024-01-11,81.3,SHOP
2024-01-10,81.1,SHOP
2024-01-09,80.11,SHOP
2024-01-08,77.69,SHOP
2024-01-05,74.51,SHOP
2024-01-04,73.42,SHOP
2024-01-03,71.82,SHOP
2024-01-02,73.83,SHOP
2023-12-29,77.9,SHOP
2023-12-28,79.11,SHOP
2023-12-27,78.34,SHOP
2023-12-26,78.21,SHOP
2023-12-22,76.83,SHOP
2023-12-21,76.14,SHOP
2023-12-20,75.42,SHOP
2023-12-19,78.35,SHOP
2023-12-18,77.13,SHOP
2023-12-15,76.82,SHOP
2023-12-14,77.54,SHOP
2023-12-13,73.86,SHOP
2023-12-12,72.5,SHOP
2023-12-11,72.81,SHOP
2023-12-08,72.52,SHOP
2023-12-07,71.86,SHOP
2023-12-06,71.14,SHOP
2023-12-05,74.72,SHOP
2023-12-04,72.52,SHOP
2023-12-01,73.86,SHOP
2023-11-30,72.82,SHOP
2023-11-29,73.33,SHOP
2023-11-28,73.51,SHOP
2023-11-27,73.79,SHOP
2023-11-24,70.35,SHOP
2023-11-22,70.96,SHOP
2023-11-21,69.73,SHOP
2023-11-20,69.51,SHOP
2023-11-17,68.34,SHOP
2023-11-16,67.28,SHOP
2023-11-15,67.85,SHOP
2023-11-14,65.52,SHOP
2023-11-13,62.34,SHOP
2023-11-10,61.34,SHOP
2023-11-09,60.37,SHOP
2023-11-08,62.74,SHOP
2023-11-07,61.69,SHOP
2023-11-06,60.43,SHOP
2023-11-03,61.47,SHOP
2023-11-02,59.7,SHOP
2023-11-01,48.79,SHOP
2023-10-31,47.19,SHOP
2023-10-30,46.92,SHOP
2023-10-27,46.4,SHOP
2023-10-26,46.69,SHOP
2023-10-25,48.49,SHOP
2023-10-24,52.35,SHOP
2023-10-23,51.0,SHOP
2023-10-20,51.14,SHOP
2023-10-19,51.83,SHOP
2023-10-18,52.84,SHOP
2023-10-17,54.17,SHOP
2023-10-16,53.28,SHOP
2023-10-13,51.55,SHOP
2023-10-12,53.33,SHOP
2023-10-11,54.24,SHOP
2023-10-10,55.08,SHOP
2023-10-09,53.51,SHOP
2023-10-06,53.65,SHOP
2023-10-05,52.19,SHOP
2023-10-04,52.58,SHOP
2023-10-03,51.38,SHOP
2023-10-02,54.0,SHOP
2023-09-29,54.57,SHOP
2023-09-28,53.2,SHOP
2023-09-27,51.85,SHOP
2023-09-26,51.51,SHOP
2023-09-25,53.58,SHOP
2023-09-22,53.08,SHOP
2023-09-21,53.7,SHOP
2023-09-20,56.97,SHOP
2023-09-19,58.33,SHOP
2023-09-18,59.5,SHOP
2023-09-15,62.38,SHOP
2023-09-14,63.4,SHOP
2023-09-13,62.62,SHOP
2023-09-12,62.93,SHOP
2023-09-11,64.56,SHOP
2023-09-08,63.01,SHOP
2023-09-07,64.78,SHOP
2023-09-06,65.82,SHOP
2023-09-05,65.8,SHOP
2023-09-01,66.71,SHOP
2023-08-31,66.49,SHOP
2023-08-30,60.01,SHOP
2023-08-29,58.8,SHOP
2023-08-28,56.31,SHOP
2023-08-25,55.54,SHOP
2023-08-24,55.46,SHOP
2023-08-23,56.73,SHOP
2023-08-22,53.96,SHOP
2023-08-21,53.93,SHOP
2023-08-18,53.14,SHOP
2023-08-17,53.22,SHOP
2023-08-16,55.34,SHOP
2023-08-15,55.34,SHOP
2023-08-14,55.98,SHOP
2023-08-11,55.27,SHOP
2023-08-10,56.47,SHOP
2023-08-09,55.2,SHOP
2023-08-08,56.19,SHOP
2023-08-07,57.57,SHOP
2023-08-04,57.93,SHOP
2023-08-03,59.04,SHOP
2023-08-02,62.43,SHOP
2023-08-01,67.45,SHOP
2023-07-31,67.58,SHOP
2023-07-28,66.04,SHOP
2023-07-27,63.96,SHOP
2023-07-26,64.68,SHOP
2023-07-25,64.99,SHOP
2023-07-24,66.17,SHOP
2023-07-21,65.57,SHOP
2023-07-20,65.44,SHOP
2023-07-19,68.23,SHOP
2023-07-18,67.26,SHOP
2023-07-17,68.68,SHOP
2023-07-14,68.45,SHOP
2023-07-13,70.37,SHOP
2023-07-12,65.94,SHOP
2023-07-11,63.15,SHOP
2023-07-10,61.89,SHOP
2023-07-07,61.67,SHOP
2023-07-06,61.83,SHOP
2023-07-05,64.44,SHOP
2023-07-03,64.85,SHOP
2023-06-30,64.6,SHOP
2023-06-29,63.76,SHOP
2023-06-28,64.62,SHOP
2023-06-27,63.8,SHOP
2023-06-26,63.25,SHOP
2023-06-23,63.79,SHOP
2023-06-22,63.48,SHOP
2023-06-21,63.17,SHOP
2023-06-20,64.26,SHOP
2023-06-16,64.71,SHOP
2023-06-15,66.1,SHOP
2023-06-14,65.88,SHOP
2023-06-13,63.84,SHOP
2023-06-12,65.01,SHOP
2023-06-09,61.36,SHOP
2023-06-08,59.28,SHOP
2023-06-07,59.56,SHOP
2023-06-06,63.66,SHOP
2023-06-05,59.92,SHOP
2023-06-02,58.29,SHOP
2023-06-01,57.94,SHOP
2023-05-31,57.19,SHOP
2023-05-30,58.19,SHOP
2023-05-26,59.26,SHOP
2023-05-25,57.71,SHOP
2023-05-24,58.97,SHOP
2023-05-23,58.33,SHOP
2023-05-22,62.06,SHOP
2023-05-19,60.2,SHOP
2023-05-18,60.85,SHOP
2023-05-17,60.76,SHOP
2023-05-16,60.12,SHOP
2023-05-15,61.58,SHOP
2023-05-12,61.33,SHOP
2023-05-11,62.9,SHOP
2023-05-10,63.17,SHOP
2023-05-09,63.89,SHOP
2023-05-08,64.38,SHOP
2023-05-05,62.03,SHOP
2023-05-04,57.3,SHOP
2023-05-03,46.27,SHOP
2023-05-02,46.78,SHOP
2023-05-01,47.28,SHOP
2023-04-28,48.45,SHOP
2023-04-27,47.59,SHOP
2023-04-26,46.37,SHOP
2023-04-25,46.46,SHOP
2023-04-24,48.02,SHOP
2023-04-21,48.94,SHOP
2023-04-20,48.0,SHOP
2023-04-19,49.05,SHOP
2023-04-18,49.2,SHOP
2023-04-17,48.52,SHOP
2023-04-14,46.39,SHOP
2023-04-13,45.73,SHOP
2023-04-12,45.3,SHOP
2023-04-11,44.78,SHOP
2023-04-10,45.35,SHOP
2023-04-06,45.35,SHOP
2023-04-05,45.19,SHOP
2023-04-04,47.59,SHOP
2023-04-03,47.68,SHOP
2023-03-31,47.94,SHOP
2023-03-30,46.51,SHOP
2023-03-29,46.7,SHOP
2023-03-28,44.31,SHOP
2023-03-27,45.07,SHOP
2023-03-24,44.98,SHOP
2023-03-23,45.79,SHOP
2023-03-22,44.96,SHOP
2023-03-21,45.74,SHOP
2023-03-20,43.88,SHOP
2023-03-17,44.68,SHOP
2023-03-16,44.67,SHOP
2023-03-15,43.54,SHOP
2023-03-14,43.8,SHOP
2023-03-13,41.78,SHOP
2023-03-10,41.46,SHOP
2023-03-09,43.0,SHOP
2023-03-08,43.7,SHOP
2023-03-07,42.46,SHOP
2023-03-06,43.48,SHOP
2023-03-03,43.4,SHOP
2023-03-02,41.18,SHOP
2023-03-01,40.1,SHOP
2023-02-28,41.14,SHOP
2023-02-27,40.48,SHOP
2023-02-24,40.75,SHOP
2023-02-23,42.38,SHOP
2023-02-22,42.03,SHOP
2023-02-21,41.42,SHOP
2023-02-17,43.61,SHOP
2023-02-16,44.91,SHOP
2023-02-15,53.39,SHOP
2023-02-14,50.11,SHOP
2023-02-13,48.7,SHOP
2023-02-10,48.3,SHOP
2023-02-09,49.64,SHOP
2023-02-08,49.8,SHOP
2023-02-07,51.35,SHOP
2023-02-06,51.57,SHOP
2023-02-03,52.93,SHOP
2023-02-02,53.63,SHOP
2023-02-01,50.26,SHOP
2023-01-31,49.27,SHOP
2023-01-30,47.19,SHOP
2023-01-27,50.08,SHOP
2023-01-26,48.33,SHOP
2023-01-25,47.33,SHOP
2023-01-24,42.69,SHOP
2023-01-23,44.04,SHOP
2023-01-20,40.48,SHOP
2023-01-19,38.06,SHOP
2023-01-18,39.17,SHOP
2023-01-17,39.98,SHOP
2023-01-13,38.89,SHOP
2023-01-12,36.76,SHOP
2023-01-11,36.44,SHOP
2023-01-10,36.5,SHOP
2023-01-09,37.19,SHOP
2023-01-06,36.85,SHOP
2023-01-05,35.95,SHOP
2023-01-04,37.54,SHOP
2023-01-03,35.68,SHOP
2022-12-30,34.71,SHOP
2022-12-29,35.1,SHOP
2022-12-28,32.64,SHOP
2022-12-27,33.39,SHOP
2022-12-23,33.71,SHOP
2022-12-22,34.68,SHOP
2022-12-21,36.19,SHOP
2022-12-20,35.99,SHOP
2022-12-19,35.5,SHOP
2022-12-16,36.09,SHOP
2022-12-15,36.39,SHOP
2022-12-14,38.24,SHOP
2022-12-13,38.78,SHOP
2022-12-12,38.38,SHOP
2022-12-09,38.38,SHOP
2022-12-08,38.64,SHOP
2022-12-07,38.49,SHOP
2022-12-06,38.97,SHOP
2022-12-05,40.79,SHOP
2022-12-02,43.06,SHOP
2022-12-01,43.4,SHOP
2022-11-30,40.88,SHOP
2022-11-29,37.15,SHOP
2022-11-28,38.03,SHOP
2022-11-25,36.79,SHOP
2022-11-23,36.77,SHOP
2022-11-22,35.28,SHOP
2022-11-21,35.21,SHOP
2022-11-18,36.59,SHOP
2022-11-17,37.72,SHOP
2022-11-16,38.51,SHOP
2022-11-15,40.02,SHOP
2022-11-14,38.4,SHOP
2022-11-11,39.44,SHOP
2022-11-10,36.51,SHOP
2022-11-09,30.9,SHOP
2022-11-08,32.8,SHOP
2022-11-07,32.24,SHOP
2022-11-04,32.15,SHOP
2022-11-03,33.74,SHOP
2022-11-02,33.51,SHOP
2022-11-01,34.79,SHOP
2022-10-31,34.23,SHOP
2022-10-28,34.19,SHOP
2022-10-27,34.1,SHOP
2022-10-26,29.06,SHOP
2022-10-25,29.83,SHOP
2022-10-24,28.75,SHOP
2022-10-21,29.75,SHOP
2022-10-20,29.73,SHOP
2022-10-19,28.35,SHOP
2022-10-18,28.73,SHOP
2022-10-17,27.76,SHOP
2022-10-14,26.06,SHOP
2022-10-13,26.24,SHOP
2022-10-12,25.99,SHOP
2022-10-11,25.67,SHOP
2022-10-10,26.45,SHOP
2022-10-07,27.21,SHOP
2022-10-06,30.06,SHOP
2022-10-05,30.83,SHOP
2022-10-04,31.53,SHOP
2022-10-03,27.76,SHOP
2022-09-30,26.94,SHOP
2022-09-29,26.77,SHOP
2022-09-28,29.24,SHOP
2022-09-27,27.85,SHOP
2022-09-26,28.25,SHOP
2022-09-23,28.76,SHOP
2022-09-22,28.57,SHOP
2022-09-21,30.55,SHOP
2022-09-20,30.95,SHOP
2022-09-19,32.94,SHOP
2022-09-16,31.73,SHOP
2022-09-15,33.85,SHOP
2022-09-14,33.69,SHOP
2022-09-13,32.7,SHOP
2022-09-12,35.16,SHOP
2022-09-09,34.81,SHOP
2022-09-08,31.94,SHOP
2022-09-07,30.98,SHOP
2022-09-06,29.84,SHOP
2022-09-02,30.11,SHOP
2022-09-01,31.27,SHOP
2022-08-31,31.65,SHOP
2022-08-30,31.36,SHOP
2022-08-29,31.94,SHOP
2022-08-26,32.42,SHOP
2022-08-25,34.34,SHOP
2022-08-24,33.29,SHOP
2022-08-23,32.47,SHOP
2022-08-22,33.18,SHOP
2022-08-19,34.2,SHOP
2022-08-18,36.86,SHOP
2022-08-17,37.3,SHOP
2022-08-16,39.58,SHOP
2022-08-15,39.84,SHOP
2022-08-12,40.76,SHOP
2022-08-11,40.42,SHOP
2022-08-10,40.61,SHOP
2022-08-09,36.75,SHOP
2022-08-08,39.77,SHOP
2022-08-05,40.81,SHOP
2022-08-04,41.02,SHOP
2022-08-03,41.93,SHOP
2022-08-02,37.74,SHOP
2022-08-01,36.44,SHOP
2022-07-29,34.83,SHOP
